element_type,ep_next,ep_this,event_points,form,id,now_cost,points_per_game,selected_by_percent,status,team,team_code,total_points,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,creativity_rank,threat_rank,ict_index_rank,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,position,goal_involvements,money_value,performance
MID,3.3,3.8,5,3.8,136,6.6,4.4,6.9,a,Brighton,36,31,0.6,4.7,Mitoma,621,1,3,2,10,0,0,0,0,0,0,1,129,146.8,154.1,207.0,50.8,7,1.80,1.33,3.13,11.26,61,33,16,22,0.26,0.0,0.19,0.45,1.63,1.45,1.01,0.29,Midfielder,4.0,4.696969696969697,0.8700000000000001
MID,-0.5,0.0,0,0.0,137,4.4,0.0,1.0,a,Brighton,36,0,0.0,0.0,Moder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,521,513,484,525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,0.0,0.0,0.0
MID,-0.5,0.0,0,0.0,140,4.5,0.0,0.1,a,Brighton,36,0,0.0,0.0,Peupion,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,570,567,547,574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,0.0,0.0,0.0
GKP,-0.5,0.0,0,0.0,142,4.4,4.5,1.6,a,Brighton,36,9,0.0,2.0,Steele,180,0,0,1,1,0,0,0,0,0,3,1,46,40.4,0.0,0.0,4.1,2,0.00,0.00,0.0,1.88,265,492,457,331,0.0,1.5,0.0,0.0,0.94,0.5,1.0,0.5,Goalkeeper,0.0,2.0454545454545454,0.0
DEF,1.7,2.2,1,2.2,145,4.5,3.5,3.3,a,Brighton,36,21,0.5,4.7,Veltman,521,0,0,2,6,0,0,0,1,0,0,4,84,83.4,37.1,11.0,13.2,6,0.05,0.50,0.55,6.26,164,196,262,224,0.01,0.0,0.09,0.1,1.08,1.04,1.04,0.35,Defender,0.0,4.666666666666667,-0.55
GKP,1.0,1.5,0,1.5,146,4.5,2.0,1.9,a,Brighton,36,10,0.3,2.2,Verbruggen,450,0,0,1,9,0,0,0,2,0,12,0,44,104.2,0.0,0.0,10.4,5,0.00,0.00,0.0,9.49,129,560,540,251,0.0,2.4,0.0,0.0,1.9,1.8,1.0,0.2,Goalkeeper,0.0,2.2222222222222223,0.0
DEF,-0.4,0.0,1,0.0,147,4.4,0.3,0.1,d,Brighton,36,1,0.0,0.2,Webster,78,0,0,0,4,0,0,0,0,0,0,0,7,20.4,1.8,2.0,2.4,2,0.00,0.03,0.03,3.95,312,359,334,364,0.0,0.0,0.03,0.03,4.56,4.62,2.31,0.0,Defender,0.0,0.22727272727272727,-0.03
FWD,4.0,4.5,8,4.5,148,5.8,5.9,19.9,a,Brighton,36,41,0.8,7.1,Welbeck,596,4,1,2,10,0,0,0,1,0,0,9,150,186.4,111.9,250.0,54.8,7,3.50,0.29,3.79,11.19,25,53,9,15,0.53,0.0,0.04,0.57,1.69,1.51,1.06,0.3,Forward,5.0,7.06896551724138,1.21
MID,0.3,0.8,1,0.8,149,4.9,2.2,0.1,a,Brighton,36,9,0.2,1.8,Wieffer,190,0,1,1,5,0,0,0,0,0,0,0,35,52.2,40.8,2.0,9.5,2,0.00,0.04,0.04,5.17,228,182,346,259,0.0,0.0,0.02,0.02,2.45,2.37,0.95,0.47,Midfielder,1.0,1.8367346938775508,0.96
MID,-0.3,0.2,1,0.2,595,5.4,1.0,0.0,a,Brighton,36,1,0.0,0.2,Gruda,3,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,4.0,0.4,0,0.00,0.00,0.0,0.00,653,652,325,413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,0.0,0.18518518518518517,0.0
