FPL_ID,fbref_id,Understat_ID,transfermarkt
408,efb9215a,7691,346018
409,afed6722,9512,503981
410,a2b105e0,7078,346707
411,2c6835e5,11386,922769
412,03df04ff,375,124419
413,4b40d9ca,5552,192080
414,da8b19e2,785,29712
415,c8aa95da,76,135343
416,e514ab62,884,250478
417,0db169ae,7958,397033
418,21512407,652,95810
419,d60c03a9,9959,614811
420,a3b03921,6630,340329
421,c596fcb0,468,123682
422,246d153b,725,236490
423,de31038e,9154,567576
424,e5478b87,7814,295313
425,a4ac4b8f,6850,142310
427,84454067,12764,641458
428,0a4f579a,12765,897481
429,a816dbfb,11317,808509
430,2c44a35d,9301,448854
431,20b3a502,8252,497291
432,2fba6108,9524,583189
433,32f60ed8,6857,429014
434,15f3ec41,6456,392768
435,10ec4169,10761,503988
436,1704b0b8,12123,1005649
437,dd323728,8204,503680
438,f9b1b7bf,9675,424881
439,089667a5,10759,560694
440,c393a6c4,9833,621993
441,c795c408,7247,392777
442,bced0375,5722,375885
443,834b5c4c,6903,127202
444,a105d46a,10758,198516
445,4a51ba65,10700,425306
446,a2d873dd,7746,260166
447,4e9a0555,4456,108725
448,a5212312,10756,415970
449,c1fe2a48,11003,425902
450,4abac767,11297,748319
451,9eedf0e0,11618,933900
452,328f7d51,10766,468198
453,68c720b5,4419,250426
454,c91441dc,10765,585550
455,4115ce4e,6042,243028
456,a39d11bc,9710,467563
457,c07b7c5c,11359,324223
458,5cc3ce65,11594,747951
459,007414dd,10072,680806
461,47327321,8495,503977
462,a62f8bf1,9630,746695
463,99813635,486,43530
464,cf7fb13a,11078,646738
465,fd78b105,11103,345437
466,bdf3a08e,12762,336367
468,3544641e,8970,557612
469,36c2ca73,635,95976
470,c06d1086,11360,272855
471,5e105217,8224,444211
472,6adbc307,1735,163744
474,580bcd18,12761,405385
475,cc2d7ad5,6044,195633
476,984a5a64,885,341051
477,4ccf2d5b,12763,503990
478,4f21d3af,12031,859951
479,5e253986,8093,428016
480,3b8674e6,6108,354362
481,a109e5c8,12912,866246
482,6c203af0,5609,410425
483,7b5ab7f2,7338,537382
484,44781702,660,192765
485,ba08056d,9306,728734
486,620922ed,9105,568559
487,df8b52a5,7430,476344
488,c3e39f12,831,52570
489,f58515f5,10184,922693
490,8b04d6c1,343,167799
491,0cd31129,10760,470607
492,df3cda47,6691,431755
493,d7553721,5681,348795
494,ee38d9c5,6818,294057
495,27d0a506,6912,553875
496,3353737a,7187,282429
497,fa031b34,6026,378710
498,a3d94a58,7218,355915
499,feb5d972,9021,568693
500,21945a9e,9332,670883
501,6250083a,7198,406638
502,886f9aac,10716,396638
503,92e7e919,453,91845
504,9bc9a519,10764,483348
505,7cd520e8,8831,556385
506,8fe2a392,10050,557459
507,3f7bafbe,12105,888493
508,77d6fd4d,8858,286047
509,49fe9070,65,170527
