date,time,week,home_team,home_xg,score,away_xg,away_team
2024-11-03,16:30,10,https://resources.premierleague.com/premierleague/badges/70/t1.png,2.0,1–1,1.1,https://resources.premierleague.com/premierleague/badges/70/t8.png
2024-11-03,14:00,10,https://resources.premierleague.com/premierleague/badges/70/t6.png,2.4,4–1,1.8,https://resources.premierleague.com/premierleague/badges/70/t7.png
2024-11-04,20:00,10,https://resources.premierleague.com/premierleague/badges/70/t54.png,1.3,2–1,0.6,https://resources.premierleague.com/premierleague/badges/70/t94.png
2024-11-09,15:00,11,https://resources.premierleague.com/premierleague/badges/70/t94.png,1.5,3–2,2.6,https://resources.premierleague.com/premierleague/badges/70/t91.png
2024-11-09,17:30,11,https://resources.premierleague.com/premierleague/badges/70/t36.png,2.3,2–1,2.1,https://resources.premierleague.com/premierleague/badges/70/t43.png
2024-11-09,15:00,11,https://resources.premierleague.com/premierleague/badges/70/t31.png,1.5,0–2,1.8,https://resources.premierleague.com/premierleague/badges/70/t54.png
2024-11-09,20:00,11,https://resources.premierleague.com/premierleague/badges/70/t14.png,2.0,2–0,1.2,https://resources.premierleague.com/premierleague/badges/70/t7.png
2024-11-09,15:00,11,https://resources.premierleague.com/premierleague/badges/70/t21.png,0.8,0–0,1.1,https://resources.premierleague.com/premierleague/badges/70/t11.png
2024-11-09,15:00,11,https://resources.premierleague.com/premierleague/badges/70/t39.png,1.3,2–0,0.6,https://resources.premierleague.com/premierleague/badges/70/t20.png
2024-11-10,16:30,11,https://resources.premierleague.com/premierleague/badges/70/t8.png,1.5,1–1,1.5,https://resources.premierleague.com/premierleague/badges/70/t3.png
2024-11-10,14:00,11,https://resources.premierleague.com/premierleague/badges/70/t1.png,0.8,3–0,0.6,https://resources.premierleague.com/premierleague/badges/70/t13.png
2024-11-10,14:00,11,https://resources.premierleague.com/premierleague/badges/70/t17.png,0.6,1–3,1.6,https://resources.premierleague.com/premierleague/badges/70/t4.png
2024-11-10,14:00,11,https://resources.premierleague.com/premierleague/badges/70/t6.png,1.5,1–2,1.6,https://resources.premierleague.com/premierleague/badges/70/t40.png
2024-11-23,15:00,12,https://resources.premierleague.com/premierleague/badges/70/t3.png,1.2,3–0,0.3,https://resources.premierleague.com/premierleague/badges/70/t17.png
2024-11-23,15:00,12,https://resources.premierleague.com/premierleague/badges/70/t7.png,3.0,2–2,1.3,https://resources.premierleague.com/premierleague/badges/70/t31.png
2024-11-23,15:00,12,https://resources.premierleague.com/premierleague/badges/70/t91.png,1.6,1–2,0.9,https://resources.premierleague.com/premierleague/badges/70/t36.png
2024-11-23,15:00,12,https://resources.premierleague.com/premierleague/badges/70/t11.png,1.2,0–0,1.1,https://resources.premierleague.com/premierleague/badges/70/t94.png
2024-11-23,15:00,12,https://resources.premierleague.com/premierleague/badges/70/t54.png,1.0,1–4,1.3,https://resources.premierleague.com/premierleague/badges/70/t39.png
2024-11-23,12:30,12,https://resources.premierleague.com/premierleague/badges/70/t13.png,1.1,1–2,2.7,https://resources.premierleague.com/premierleague/badges/70/t8.png
2024-11-23,17:30,12,https://resources.premierleague.com/premierleague/badges/70/t43.png,2.1,0–4,2.5,https://resources.premierleague.com/premierleague/badges/70/t6.png
2024-11-24,16:30,12,https://resources.premierleague.com/premierleague/badges/70/t40.png,1.6,1–1,0.8,https://resources.premierleague.com/premierleague/badges/70/t1.png
2024-11-24,14:00,12,https://resources.premierleague.com/premierleague/badges/70/t20.png,1.3,2–3,3.1,https://resources.premierleague.com/premierleague/badges/70/t14.png
2024-11-25,20:00,12,https://resources.premierleague.com/premierleague/badges/70/t4.png,1.6,0–2,0.9,https://resources.premierleague.com/premierleague/badges/70/t21.png
2024-11-29,20:00,13,https://resources.premierleague.com/premierleague/badges/70/t36.png,1.7,1–1,1.0,https://resources.premierleague.com/premierleague/badges/70/t20.png
2024-11-30,15:00,13,https://resources.premierleague.com/premierleague/badges/70/t94.png,2.4,4–1,1.1,https://resources.premierleague.com/premierleague/badges/70/t13.png
2024-11-30,15:00,13,https://resources.premierleague.com/premierleague/badges/70/t31.png,1.7,1–1,0.0,https://resources.premierleague.com/premierleague/badges/70/t4.png
2024-11-30,15:00,13,https://resources.premierleague.com/premierleague/badges/70/t17.png,1.6,1–0,0.6,https://resources.premierleague.com/premierleague/badges/70/t40.png
2024-11-30,17:30,13,https://resources.premierleague.com/premierleague/badges/70/t21.png,1.5,2–5,3.5,https://resources.premierleague.com/premierleague/badges/70/t3.png
2024-11-30,15:00,13,https://resources.premierleague.com/premierleague/badges/70/t39.png,0.5,2–4,3.3,https://resources.premierleague.com/premierleague/badges/70/t91.png
2024-12-01,13:30,13,https://resources.premierleague.com/premierleague/badges/70/t8.png,1.6,3–0,1.2,https://resources.premierleague.com/premierleague/badges/70/t7.png
2024-12-01,16:00,13,https://resources.premierleague.com/premierleague/badges/70/t14.png,3.4,2–0,0.8,https://resources.premierleague.com/premierleague/badges/70/t43.png
2024-12-01,13:30,13,https://resources.premierleague.com/premierleague/badges/70/t1.png,1.1,4–0,0.6,https://resources.premierleague.com/premierleague/badges/70/t11.png
2024-12-01,13:30,13,https://resources.premierleague.com/premierleague/badges/70/t6.png,0.8,1–1,1.5,https://resources.premierleague.com/premierleague/badges/70/t54.png
2024-12-03,19:30,14,https://resources.premierleague.com/premierleague/badges/70/t40.png,0.5,0–1,1.6,https://resources.premierleague.com/premierleague/badges/70/t31.png
2024-12-03,20:15,14,https://resources.premierleague.com/premierleague/badges/70/t13.png,1.7,3–1,3.0,https://resources.premierleague.com/premierleague/badges/70/t21.png
