ID,Name,Team,Pos,Price,16_pts,17_pts,18_pts,19_pts,20_pts,21_pts,22_pts,23_pts,24_pts,25_pts,26_pts,27_pts,28_pts,29_pts,30_pts,31_pts,32_pts,33_pts,34_pts,35_pts,36_pts,37_pts,38_pts,tba_pts
622,Berge,FUL,MID,5,1.85729,2.03693,1.96978,2.03361,1.98018,2.13157,2.15368,1.95457,1.99318,2.03364,2.03385,2.13598,1.99523,1.96057,1.87229,1.88812,1.98018,1.93798,2.26871,1.99297,2.03753,2.09024,1.87578,0
623,M.Fernandes,SOU,MID,5,2.13859,2.12258,2.26029,2.10404,2.19992,2.09961,2.06127,2.19769,2.05922,2.21702,2.13241,2.01794,1.8906,2.2676,2.19269,2.10505,2.12943,2.20611,2.10179,2.2158,1.99919,2.05069,1.97659,0
624,Begovic,EVE,GK,4,0.2674,0.21604,0.26901,0.19787,0.24233,0.19718,0.21753,0.23669,0.20677,0.22303,0.20371,0.24501,0.21668,0.20028,0.29047,0.20521,0.21359,0.22988,0.24956,0.17492,0.23673,0.179,0.24354,0.2222
625,Gündogan,MCI,MID,6.5,2.22585,2.19662,2.36737,2.38392,2.45481,2.35405,2.24169,2.25131,1.99207,2.35951,2.13861,2.26765,2.20851,2.28114,2.57032,2.25515,2.32523,2.16594,2.28979,2.45759,2.61727,2.37987,2.27953,0
626,Kaboré,MCI,DEF,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
627,Dixon,EVE,DEF,4,0.03443,0.03,0.03476,0.02775,0.02987,0.02779,0.02865,0.03038,0.02912,0.03048,0.02699,0.03442,0.03036,0.02832,0.03331,0.02852,0.02918,0.02878,0.0333,0.02712,0.03101,0.02599,0.03269,0.02923
628,F.Kadıoğlu,BHA,DEF,4.5,0.13082,0.56652,1.05921,1.61199,1.58576,1.6316,1.82586,1.60665,1.71433,1.76278,1.76091,1.7052,1.63075,1.97544,1.66092,1.782,1.75497,1.98603,1.70405,1.72924,1.79306,1.71373,1.94721,0
629,O'Riley,BHA,MID,5.5,1.80152,1.77631,1.78002,1.55996,1.46549,1.59043,1.61498,1.78275,1.57185,1.66637,1.94158,1.79415,1.64708,1.44013,1.70428,1.6128,1.98243,1.70035,1.86783,1.77384,1.76579,1.55511,1.6245,0
630,O'Shea,IPS,DEF,4,2.39597,2.3234,2.67196,2.3853,2.43972,2.23395,2.29852,2.5942,2.1153,2.56975,2.29373,2.46327,2.40191,2.23529,2.35946,2.27461,2.59647,2.27989,2.55386,2.26534,2.21969,2.35671,2.27554,0
631,J.Clarke,IPS,MID,5.5,1.91486,1.87704,1.54841,1.77211,1.77925,1.80045,1.6486,1.54469,1.90384,1.70632,1.7878,1.76201,1.76708,1.88203,1.68348,1.95125,1.67681,1.61964,1.6964,1.71206,1.87184,1.88364,1.94539,0
